External code,Vendor,Centre,Dataset,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
C2M6P8,B,3,Train,0.9937752485275269,0.9542385339736938,0.8476145267486572,0.9663435816764832,0.9876275062561035,0.9124820828437805,0.7355303764343262,0.934878945350647,4.0,3.605551275463989,10.488088481701515,3.0
C3I2K3,B,2,Train,0.9928112030029297,0.9607547521591187,0.9034428000450134,0.9480200409889221,0.9857250452041626,0.9244735240936279,0.8238903284072876,0.901176929473877,4.47213595499958,3.605551275463989,2.23606797749979,4.47213595499958
C4E9I1,A,1,Valid,0.9830642342567444,0.9322419762611389,0.8622514009475708,0.8077812790870667,0.9666925072669983,0.8730835914611816,0.7578575611114502,0.6775445342063904,3.3166247903554,4.58257569495584,5.656854249492381,11.045361017187261
C4K8M1,C,4,,,,,,,,,,,,,
C4R8T7,B,2,Train,0.9913803339004517,0.939049482345581,0.9034608602523804,0.9401212930679321,0.9829079508781433,0.8851020932197571,0.8239202499389648,0.8870083689689636,8.246211251235321,4.123105625617661,4.0,8.12403840463596
C4S8W9,B,3,Train,0.9938560128211975,0.9665855169296265,0.9135863780975342,0.9569409489631653,0.9877870678901672,0.9353318810462952,0.8409194946289062,0.9174370169639587,4.898979485566356,2.0,32.7566787083184,5.0990195135927845
C5L0R0,D,5,Valid,0.9737675189971924,0.891860842704773,0.781816840171814,0.884831428527832,0.948876142501831,0.8048274517059326,0.6417891979217529,0.7934507727622986,10.677078252031311,6.164414002968976,10.816653826391969,17.549928774784245
C5M4S2,A,1,Train,0.9939835071563721,0.969700038433075,0.8992403745651245,0.9496715664863586,0.988038957118988,0.9411821961402893,0.8169270753860474,0.9041663408279419,5.0,2.23606797749979,7.0,26.570660511172846
C5Q2Y5,C,4,,,,,,,,,,,,,
C6E0F9,A,1,Valid,0.9912005066871643,0.9296694993972778,0.862278163433075,0.9375607371330261,0.98255455493927,0.8685817122459412,0.7578989863395691,0.8824605345726013,4.0,9.219544457292887,13.152946437965905,6.48074069840786
C6J5P1,A,1,Train,0.9906010627746582,0.9720037579536438,0.911275327205658,0.935604989528656,0.981377124786377,0.9455324411392212,0.8370116949081421,0.8790016174316406,4.0,3.3166247903554,13.45362404707371,12.041594578792296
C6U4W8,A,1,Test,0.9878759980201721,0.936638355255127,0.8264785408973694,0.9311697483062744,0.9760423898696899,0.8808276057243347,0.7042722105979919,0.8712044954299927,4.0,3.1622776601683795,6.48074069840786,7.810249675906654
C7L8Z8,B,2,Test,0.981513261795044,0.886042594909668,0.7833582162857056,0.9117680788040161,0.9636976718902588,0.7954007983207703,0.6438692808151245,0.8378435373306274,4.123105625617661,7.3484692283495345,7.615773105863909,9.273618495495704
C7M6W0,C,4,Test,0.9749711155891418,0.8836196660995483,0.7895480990409851,0.8124922513961792,0.9511646032333374,0.7915041446685791,0.6522755026817322,0.6841995120048523,10.0,9.0,36.124783736376884,12.083045973594572
