External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_RV,Dice_MYO,IoU_BG,IoU_LV,IoU_RV,IoU_MYO,HD_BG,HD_LV,HD_RV,HD_MYO
G2J1M5,B,2,0.9516713619232178,0.6727973222732544,0.5540845394134521,0.6636068820953369,0.907798707485199,0.5069288611412048,0.38320672512054443,0.4965656101703644,3.0,9.0,8.94427190999916,28.337254630609507
G2M7W4,B,3,0.9813650250434875,0.917465090751648,0.811753511428833,0.8532915115356445,0.9634118676185608,0.8475155234336853,0.683152437210083,0.7441223859786987,4.0,7.681145747868608,7.483314773547883,8.94427190999916
G2O2S6,B,2,0.9673053622245789,0.7655026912689209,0.7326868176460266,0.753437876701355,0.9366809129714966,0.6200926899909973,0.5781418681144714,0.6044126749038696,8.0,8.06225774829855,7.280109889280518,13.674794331177344
G3M5S4,B,3,0.9861968755722046,0.9347568154335022,0.8711788654327393,0.8974044322967529,0.9727696180343628,0.8775055408477783,0.7717598080635071,0.8139017224311829,5.0,5.656854249492381,5.477225575051661,4.58257569495584
G4I7V2,D,5,0.9811157584190369,0.8051393032073975,0.6676299571990967,0.8426052927970886,0.9629315733909607,0.673835277557373,0.5010845065116882,0.7280189990997314,4.0,7.280109889280518,6.4031242374328485,59.1100668245266
G4K8P3,C,4,,,,,,,,,,,,
G4L8Z7,B,2,0.9322786331176758,0.36854687333106995,0.4346431791782379,0.24424289166927338,0.8731479048728943,0.22590097784996033,0.2776639759540558,0.13910973072052002,8.54400374531753,16.1245154965971,19.748417658131498,38.41874542459709
G4S9U3,A,1,0.9946669340133667,0.9709709882736206,0.8752279281616211,0.9429185390472412,0.9893903732299805,0.9435797929763794,0.7781380414962769,0.892001748085022,3.0,18.547236990991408,17.26267650163207,4.47213595499958
G4U3U8,C,4,,,,,,,,,,,,
G5P4U3,A,1,0.9939769506454468,0.956924319267273,0.9008384943008423,0.9389082789421082,0.9880260825157166,0.9174063801765442,0.8195688128471375,0.8848511576652527,3.605551275463989,3.605551275463989,3.605551275463989,6.324555320336759
G6T0Z6,C,4,,,,,,,,,,,,
